I saw this movie in Santa Monica on Aug. 23 and it has stayed with me. I want to thank the filmmakers for digging into the details of Harry's enigmatic, eccentric, life. And also for showing the flaws and failings of Nilsson the man. Thanks for showing the good and bad, the ups and downs, and for uncovering that amazing BBC footage. The film is also a great showcase of a vast amount of Nilsson's music, really well placed throughout the film. I recommend this movie to anyone who likes good documentaries, especially if you are interested in Harry Nilsson or the music scene of the early 70's. Some reviewer at the Ain't It Cool website wrote that this was the best movie movie they saw at the Santa Barbara Film Festival, and I believe it. The film is informative, funny, sad, touching, and full of awesome music. It succeeds on all levels. Really, really good.	1
"If you and your friends find as much humor and enjoyment from horrible acting, jokes, props, and overall film making as me and my friends, you need to rent this. From simply reading the tag line and seeing how not funny it is, you should assume more not funny, poor quality, great, hilarious content through out. Its a tale of some of kids who defy every law of physics and reality and fly back in time through a modern day big screen TV to a world of dinosaurs who eventually become their friends. Not to mention a hilariously serious scene where T-Rex becomes a father figure for one of the kids. Yeah... It should be in the comedy section but you'll find it with kid movies if you find it at all. So call your friends over, sit back, relax, get ready to laugh, and enjoy. You will be quoting the laughably horrific one liners in this movie for weeks. ""Whats with all the ruckus?!"""	0
"When John Carpenter's masterly version of ""The Thing"" was released in summer 1982, it was panned by critics and bombed at the box office. The audiences couldn't handle another 'bad' alien, they wanted ET. Their loss in the long run. I would kill to be able to see this great movie on the big screen. This is a movie that was way ahead of it's time; now it has influenced a new generation of filmmakers, showing it's trail on things like ""Se7en"", ""Alien 3"", and even ""The X Files"", which unceremoniously ripped it off page by page. And the structure, which eschews character development in favour of incredible SFX, is commonplace in today's blockbuster flicks. Carpenter shows the same skills he honed in ""Halloween"", using the camera to create an unsettling and claustrophobic atmosphere. The performances are all fine, and the ending is terrific - still unique today. A paranoid masterpiece."	1
As an early representation of the turmoil of the 1960's that followed, Diane Arbus (Nicole Kidman) can be excused as an early flower child. The film itself deserves no such latitude. The lack of character development, motivation and justification for the character's behavior makes the movie very disappointing. I sat watching and waiting for some explanation of the bizarre actions only to find that Shainberg was letting me peek into a story that must have been someones inside joke. That the few facts presented did not match Diane Arbus' life very much did not help to clarify things either. The washed out Art Direction in Diane's 'normal' life was nicely contrasted with the brilliant colors in her 'awakening' life with Lionel. And the trap door stairway was a nice demonstration of Diane's attempt to inject her new life into her existing family (However, I don't see how that trap door in the ceiling of her dining room could directly connect to Lionel's apartment which was two flights of stairs up from her's). Maybe my analysis is a little too literal in looking for some character development and relationship understanding that goes beyond one sentence or one comment. I also would have liked to see at least one of Diane's photos as well. I won't wait for the sequel.	0
Most of the comments on this movie are positive so I thought I would try and redress the balance. I came out of this movie wondering what was going on. I now know and still consider it to be a poor movie. I intially discounted a dream sequence as that seemed too obvious. I was glad that I had a free ticket to the movie or I would have asked for my money back. Movie reviewers and critics love this movie, which only confirms to me that most of them would rather sound intelligent than review how an audience may enjoy a film. The 8+ rating this movie has is so misleading. In 20 years time this film will not compare to true greats such as The Godfather. The film does have fine performances from both the leads but that isn't enough to save the film. (nor are the lesbian scenes!)	0
This is a film that everyone who lives in Sweden should watch. The film shows the political riots who took place in Gothenburg in 2001 from a new perspective. It features interviews with those who were convicted where those people gets the first chance after the riots, to tell their side of the story and why they think the world can be a so much better place to live in and be a part of. I react emotionally when I see this, since I just feel so mad about how those people were treated both during the riots but also after the riots. I hope as many as possible gets to see this movie, as it really gets your mind thinking: Is this possible? In Sweden, a democracy, in 2001?	1
This is supposed to be based on Wilkie Collins' _The_Woman_In_White_, but the only resemblance it bore to that story were the characters' names, the time period, and the settings. If they were going to change the story so thoroughly, I don't understand why they needed to keep up the pretense that it came from Wilkie Collins. Go read the book. It's much better.	0
This is one of the best films I have ever seen! How anyone can knock this movie just befuddles my imagination! First of all, Gooding's and Harris's performances were simply spectacular, especially Gooding. That is the only way I can describe the acting: spectacular! You have to imagine how difficult it would be to play a character like that and pull it off; then you see Gooding, and his performance was magical. As for the plot, since it was based on a true person, it goes where the lives of the characters go. For all the action buffs, it might be a little slow, but then it's not an action film. I definitely give this movie a 10. It deserves nothing less!	1
I recently rented this film on DVD and thought it would be an interesting choice seeing as I am both from the north of England (Bradford), and also interested in film-making. However, it soon became apparent that this film seemed to lack a decent level of development script-wise. The characters were weak and often stereotyped and the story lacked substance. The subject matter could be an interesting basis for a film. However, the delivery of this appeared naive and unfocused. The ending felt as though it was casting judgement on the characters - punishing and rewarding where the filmmakers felt necessary. This felt a little awkward and silly, and seemed at odds with the 'realism' used in the style of shooting. For me, the film dealt with the characters and subject matter in a rather heavy handed and clumsy manner. It felt as though the writer had already decided how he wanted to end the story and set about crow-barring everything else in to fit it. Another point that I feel strongly about is the watered-down Ken Loach feel the film had. I get quite upset that UK film financiers can't see that there is more to British films than 'gritty realism'. It has become almost a safe option. Film is an infinitely wonderful playground for imaginative ideas and it is not being exploited by UK feature film producers. There is a lot of talent here in the UK. It's unfortunate that most of these individuals end up either making music videos and commercials 100% of the time or they go to America. Love + Hate would have worked better if it had been cut down to 30 or 60 minutes and appeared as a one-off TV drama.	0
I wouldn't recommend this to anyone, except cinema-goers who like to laugh at a film, not with it. Quite a promising premise and set of actors get progressively worse over a film which ends with perhaps the worst ending ever seen in a film. I won't spoil it, but basically the most over-used set of movie cliches get done badly and half heartedly for the most disappointing last five minutes to any film, ever. The movie also includes the most cringe inducing scene ever, the attempt at on-screen chemistry between the two lead roles when we're presented with a close up of Angela Jolie stroking Denzel Washington's finger lovingly. It may be the only thing he could move, but quite why the viewer is treated to a zoom of Washington's finger getting stroked amidst the kind of dimmed lights and music appropriate for a sex scene is beyond me. I laughed out loud and shook my head. The direction of the storyline borrows heavily from Se7en, but here it is executed far more simplistically, and far too obviously. To call it a poor-mans Se7en would be an understatement, this really is nothing more than a made for TV movie and even Jolie and Washington's best efforts can't convince that this is a box office film.	0
